"GSE","Platform","Organism","nSamples","hasTreatmentField","nControl","nAgents","Agents","hasCellLine","hasGenotype","usable","Title"
"GSE100446","GPL18573","Homo sapiens",44,FALSE,0,0,"",TRUE,FALSE,FALSE,"TAF1 is critical for AE driven leukemogenesis"
"GSE100572","GPL18573","Homo sapiens",18,FALSE,0,0,"",TRUE,FALSE,FALSE,"Functional TRIM24 degraders via conjugation of ineffectual bromodomain and VHL ligands [RN"
"GSE100573","GPL18573","Homo sapiens",69,TRUE,24,1,"DTRIM24",TRUE,FALSE,TRUE,"Functional TRIM24 degraders via conjugation of ineffectual bromodomain and VHL ligands"
"GSE100671","GPL10558","Homo sapiens",23,FALSE,0,0,"",FALSE,FALSE,FALSE,"Genome-wide transcriptional analysis of gene expression in leukemic cells exposed to hista"
"GSE100694","GPL18573","Homo sapiens",24,TRUE,16,2,"I-BET151; JQ1",TRUE,FALSE,TRUE,"Ezh2 and Runx1 Mutations Collaborate to Initiate Lympho-Myeloid Leukemia in Early Thymic P"
"GSE100708","GPL16791","Homo sapiens",73,TRUE,32,4,"100µM indole-3-acetic acid, 90 min; 1µM JQ1, 90 min; 5µM JQ1, 90 min; JQ1, 90 min",TRUE,FALSE,TRUE,"SLAM-seq defines direct gene-regulatory functions of the BRD4-MYC axis [SLAM-seq]"
"GSE101380","GPL10558","Homo sapiens",10,TRUE,5,1,"ARV825",TRUE,FALSE,TRUE,"Effect of PROTAC-mediated BRD4 degradation in acute myeloid leukemia [OCI-AML3]"
"GSE101449","GPL10558","Homo sapiens",12,TRUE,6,1,"ARV825",TRUE,FALSE,TRUE,"Effect of PROTAC-mediated BRD4 degradation on bone marrow-derived mesenchymal stromal cell"
"GSE101480","GPL15433","Homo sapiens",6,TRUE,3,1,"NSC-370284",TRUE,FALSE,TRUE,"Targeted inhibition of STAT/TET1 axis as a potent therapeutic strategy for acute myeloid l"
"GSE101757","GPL11154","Homo sapiens",30,TRUE,10,2,"atorvastatin; simvastatin",TRUE,FALSE,TRUE,"Responses of primary AML cells to atorvastatin and simvastatin"
"GSE101784","GPL570","Homo sapiens",4,TRUE,1,1,"albendazole",TRUE,FALSE,FALSE,"Albendazole induces monocytic differentiation in AML cells through modulating KLF4-DPYSL2A"
"GSE101788","GPL11154","Homo sapiens",6,FALSE,0,0,"",TRUE,FALSE,FALSE,"CBFb-SMMHC inhibition triggers apoptosis by disrupting MYC chromatin dynamics in acute mye"
"GSE101791","GPL11154","Homo sapiens",10,FALSE,0,0,"",TRUE,FALSE,FALSE,"CBFb-SMMHC inhibition triggers apoptosis by disrupting MYC chromatin dynamics in acute mye"
"GSE101821","GPL18460","Homo sapiens",87,TRUE,27,7,"BI00894999, ,; BI00894999, , and EX00101218, ,; BI00894999, 1mg/kg,; BI00894999, 1mg/kg, and Flavopiridol, 2.5mg/kg,; EX00101218, ,; Flavopiridol, 2.5mg/kg,",FALSE,FALSE,TRUE,"The novel BETi BI 894999 represses super-enhancer associated transcription and synergizes "
"GSE102243","GPL11154","Homo sapiens",24,TRUE,4,5,"Dina-; FVP-; Palbo-; PHA-; THZ1-",TRUE,FALSE,TRUE,"The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes"
"GSE102730","GPL16791","Homo sapiens",16,TRUE,8,1,"E2",TRUE,TRUE,TRUE,"C/EBPα overexpression overrides epigenetic reprogramming by RUNX1-ETO and RUNX1-EVI1 [RNA-"
"GSE103068","GPL18460","Homo sapiens",36,TRUE,6,3,"BI00894999, ,; BI00894999, , and Volasertib, ,; Volasertib, ,",FALSE,FALSE,TRUE,"Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vi"
